report_type,dt,scene_key,ab_group,ab_label,trigger_pv,show_pv,show_rate,impression_pv,revenue_usd,ecpm,show_rate_diff_vs_b,revenue_diff_vs_b,ecpm_diff_vs_b
scene_show_rate,2026-03-26,classic_over_no_revive,B,single_layer,5081,4734,0.9317063570163354,,,,0.0,,
scene_show_rate,2026-03-26,classic_revive_back,A,csv3_1,11927,6992,0.5862329169112098,,,,-0.18866298870988663,,
scene_show_rate,2026-03-26,classic_revive_back,B,single_layer,11528,8933,0.7748959056210964,,,,0.0,,
scene_show_rate,2026-03-26,dc_game_start,A,csv3_1,842,626,0.7434679334916865,,,,-0.05350558479330725,,
scene_show_rate,2026-03-26,dc_game_start,B,single_layer,793,632,0.7969735182849937,,,,0.0,,
scene_show_rate,2026-03-26,dc_game_win,A,csv3_1,1142,1072,0.9387040280210157,,,,0.01760136642405752,,
scene_show_rate,2026-03-26,dc_game_win,B,single_layer,1052,969,0.9211026615969582,,,,0.0,,
scene_show_rate,2026-03-26,event_game_win,A,csv3_1,1716,1578,0.9195804195804196,,,,0.08824200826377104,,
scene_show_rate,2026-03-26,event_game_win,B,single_layer,1838,1528,0.8313384113166485,,,,0.0,,
scene_show_rate,2026-03-26,event_over_no_revive,A,csv3_1,558,531,0.9516129032258065,,,,0.1281730249914077,,
scene_show_rate,2026-03-26,event_over_no_revive,B,single_layer,657,541,0.8234398782343988,,,,0.0,,
scene_show_rate,2026-03-26,event_revive_back,A,csv3_1,161,116,0.7204968944099379,,,,-0.08984793317626893,,
scene_show_rate,2026-03-26,event_revive_back,B,single_layer,174,141,0.8103448275862069,,,,0.0,,
scene_show_rate,2026-03-26,event_revive_timeout,A,csv3_1,430,386,0.8976744186046511,,,,0.15457463091887624,,
scene_show_rate,2026-03-26,event_revive_timeout,B,single_layer,471,350,0.7430997876857749,,,,0.0,,
scene_show_rate,2026-03-26,events_settings_replay,A,csv3_1,3,3,1.0,,,,,,
scene_show_rate,2026-03-26,revive_timeout,A,csv3_1,13080,12139,0.9280581039755351,,,,0.006051456375627873,,
scene_show_rate,2026-03-26,revive_timeout,B,single_layer,12937,11928,0.9220066475999072,,,,0.0,,
scene_show_rate,2026-03-27,app_resume,A,csv3_1,1812,1293,0.7135761589403974,,,,-0.012122165081948966,,
scene_show_rate,2026-03-27,app_resume,B,single_layer,1790,1299,0.7256983240223464,,,,0.0,,
scene_show_rate,2026-03-27,classic_game_settings_replay,A,csv3_1,42,38,0.9047619047619048,,,,0.07717569786535305,,
scene_show_rate,2026-03-27,classic_game_settings_replay,B,single_layer,29,24,0.8275862068965517,,,,0.0,,
scene_show_rate,2026-03-27,classic_over_no_revive,A,csv3_1,1270,1186,0.9338582677165355,,,,-0.0076942436989896335,,
scene_show_rate,2026-03-27,classic_over_no_revive,B,single_layer,1095,1031,0.9415525114155251,,,,0.0,,
scene_show_rate,2026-03-27,classic_revive_back,A,csv3_1,2571,1671,0.6499416569428238,,,,-0.19224835916023575,,
scene_show_rate,2026-03-27,classic_revive_back,B,single_layer,2484,2092,0.8421900161030595,,,,0.0,,
scene_show_rate,2026-03-27,dc_game_start,A,csv3_1,225,170,0.7555555555555555,,,,-0.07777777777777783,,
scene_show_rate,2026-03-27,dc_game_start,B,single_layer,132,110,0.8333333333333334,,,,0.0,,
scene_show_rate,2026-03-27,dc_game_win,A,csv3_1,238,235,0.9873949579831933,,,,0.025029366585343826,,
scene_show_rate,2026-03-27,dc_game_win,B,single_layer,186,179,0.9623655913978495,,,,0.0,,
scene_show_rate,2026-03-27,event_game_win,A,csv3_1,534,511,0.9569288389513109,,,,0.03494302334847399,,
scene_show_rate,2026-03-27,event_game_win,B,single_layer,423,390,0.9219858156028369,,,,0.0,,
scene_show_rate,2026-03-27,event_over_no_revive,A,csv3_1,165,160,0.9696969696969697,,,,0.14096768792901393,,
scene_show_rate,2026-03-27,event_over_no_revive,B,single_layer,181,150,0.8287292817679558,,,,0.0,,
scene_show_rate,2026-03-27,event_revive_back,A,csv3_1,52,43,0.8269230769230769,,,,-0.0976052249637156,,
scene_show_rate,2026-03-27,event_revive_back,B,single_layer,53,49,0.9245283018867925,,,,0.0,,
scene_show_rate,2026-03-27,event_revive_timeout,A,csv3_1,155,153,0.9870967741935484,,,,0.2078759949727691,,
scene_show_rate,2026-03-27,event_revive_timeout,B,single_layer,77,60,0.7792207792207793,,,,0.0,,
scene_show_rate,2026-03-27,revive_timeout,A,csv3_1,2792,2645,0.9473495702005731,,,,-0.012391132631224933,,
scene_show_rate,2026-03-27,revive_timeout,B,single_layer,2931,2813,0.959740702831798,,,,0.0,,
